Region,Country,Year,Series,Value,Footnotes,Source
20,Andorra,2010,Domestic general government health expenditure (% of total government expenditure),25.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
20,Andorra,2015,Domestic general government health expenditure (% of total government expenditure),16.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
20,Andorra,2018,Domestic general government health expenditure (% of total government expenditure),14.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
20,Andorra,2019,Domestic general government health expenditure (% of total government expenditure),14.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
20,Andorra,2020,Domestic general government health expenditure (% of total government expenditure),15.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2005,Current health expenditure (% of GDP),2.9,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2010,Current health expenditure (% of GDP),2.7,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2015,Current health expenditure (% of GDP),2.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2018,Current health expenditure (% of GDP),2.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2019,Current health expenditure (% of GDP),2.7,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2020,Current health expenditure (% of GDP),2.9,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2005,Domestic general government health expenditure (% of total government expenditure),4.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2010,Domestic general government health expenditure (% of total government expenditure),4.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2015,Domestic general government health expenditure (% of total government expenditure),4.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2018,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2019,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
24,Angola,2020,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2005,Current health expenditure (% of GDP),5.0,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2010,Current health expenditure (% of GDP),5.4,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2015,Current health expenditure (% of GDP),5.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2018,Current health expenditure (% of GDP),4.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2019,Current health expenditure (% of GDP),4.4,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2020,Current health expenditure (% of GDP),5.6,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2005,Domestic general government health expenditure (% of total government expenditure),11.5,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2010,Domestic general government health expenditure (% of total government expenditure),13.9,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2015,Domestic general government health expenditure (% of total government expenditure),11.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2018,Domestic general government health expenditure (% of total government expenditure),13.1,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2019,Domestic general government health expenditure (% of total government expenditure),11.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
28,Antigua and Barbuda,2020,Domestic general government health expenditure (% of total government expenditure),12.6,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2005,Current health expenditure (% of GDP),7.6,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2010,Current health expenditure (% of GDP),9.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2015,Current health expenditure (% of GDP),10.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2018,Current health expenditure (% of GDP),9.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2019,Current health expenditure (% of GDP),9.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2020,Current health expenditure (% of GDP),10.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2005,Domestic general government health expenditure (% of total government expenditure),16.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2010,Domestic general government health expenditure (% of total government expenditure),16.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2015,Domestic general government health expenditure (% of total government expenditure),16.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2018,Domestic general government health expenditure (% of total government expenditure),15.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2019,Domestic general government health expenditure (% of total government expenditure),16.1,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
32,Argentina,2020,Domestic general government health expenditure (% of total government expenditure),15.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2005,Current health expenditure (% of GDP),5.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2010,Current health expenditure (% of GDP),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2015,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2018,Current health expenditure (% of GDP),10.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2019,Current health expenditure (% of GDP),11.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2020,Current health expenditure (% of GDP),12.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2005,Domestic general government health expenditure (% of total government expenditure),7.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2010,Domestic general government health expenditure (% of total government expenditure),6.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2015,Domestic general government health expenditure (% of total government expenditure),6.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2018,Domestic general government health expenditure (% of total government expenditure),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2019,Domestic general government health expenditure (% of total government expenditure),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
51,Armenia,2020,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2005,Current health expenditure (% of GDP),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2010,Current health expenditure (% of GDP),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2015,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2018,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2019,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2020,Current health expenditure (% of GDP),10.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2005,Domestic general government health expenditure (% of total government expenditure),15.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2010,Domestic general government health expenditure (% of total government expenditure),16.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2015,Domestic general government health expenditure (% of total government expenditure),18.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2018,Domestic general government health expenditure (% of total government expenditure),18.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2019,Domestic general government health expenditure (% of total government expenditure),17.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
36,Australia,2020,Domestic general government health expenditure (% of total government expenditure),17.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2005,Current health expenditure (% of GDP),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2010,Current health expenditure (% of GDP),10.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2015,Current health expenditure (% of GDP),10.4,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2018,Current health expenditure (% of GDP),10.3,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2019,Current health expenditure (% of GDP),10.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2020,Current health expenditure (% of GDP),11.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2005,Domestic general government health expenditure (% of total government expenditure),13.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2010,Domestic general government health expenditure (% of total government expenditure),14.0,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2015,Domestic general government health expenditure (% of total government expenditure),14.7,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2018,Domestic general government health expenditure (% of total government expenditure),15.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2019,Domestic general government health expenditure (% of total government expenditure),16.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
40,Austria,2020,Domestic general government health expenditure (% of total government expenditure),15.4,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2005,Current health expenditure (% of GDP),2.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2010,Current health expenditure (% of GDP),2.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2015,Current health expenditure (% of GDP),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2018,Current health expenditure (% of GDP),3.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2019,Current health expenditure (% of GDP),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2020,Current health expenditure (% of GDP),4.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2005,Domestic general government health expenditure (% of total government expenditure),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2010,Domestic general government health expenditure (% of total government expenditure),3.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2015,Domestic general government health expenditure (% of total government expenditure),3.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2018,Domestic general government health expenditure (% of total government expenditure),2.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2019,Domestic general government health expenditure (% of total government expenditure),3.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
31,Azerbaijan,2020,Domestic general government health expenditure (% of total government expenditure),3.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2005,Current health expenditure (% of GDP),4.0,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2010,Current health expenditure (% of GDP),5.3,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2015,Current health expenditure (% of GDP),5.1,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2018,Current health expenditure (% of GDP),6.0,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2019,Current health expenditure (% of GDP),5.9,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2020,Current health expenditure (% of GDP),7.6,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2005,Domestic general government health expenditure (% of total government expenditure),12.9,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2010,Domestic general government health expenditure (% of total government expenditure),15.4,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2015,Domestic general government health expenditure (% of total government expenditure),13.7,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2018,Domestic general government health expenditure (% of total government expenditure),15.7,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2019,Domestic general government health expenditure (% of total government expenditure),15.3,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
44,Bahamas,2020,Domestic general government health expenditure (% of total government expenditure),15.7,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2005,Current health expenditure (% of GDP),3.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2010,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2015,Current health expenditure (% of GDP),5.0,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2018,Current health expenditure (% of GDP),4.1,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2019,Current health expenditure (% of GDP),3.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2020,Current health expenditure (% of GDP),4.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2005,Domestic general government health expenditure (% of total government expenditure),9.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
48,Bahrain,2010,Domestic general government health expenditure (% of total government expenditure),8.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
