"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",5429,"E","Estimated value"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",5663,"E","Estimated value"
"PAGGF564","Female physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",5829,"E","Estimated value"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",927,"E; B; D","Estimated value; Break; Difference in methodology"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",954,"E; B","Estimated value; Break"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",1009,"E","Estimated value"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",1124,"E","Estimated value"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",1198,"E","Estimated value"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",1315,"E","Estimated value"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",1475,"E","Estimated value"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",1592,"E","Estimated value"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",1705,"E","Estimated value"
"PAGGF65O","Female physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",1980,"E","Estimated value"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",46904,"E; B","Estimated value; Break"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",47953,"E; B","Estimated value; Break"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",49123,"E","Estimated value"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",50120,"E","Estimated value"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",51429,"E","Estimated value"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",53099,"E","Estimated value"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",54499,"E","Estimated value"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",55764,"E","Estimated value"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",57003,"E","Estimated value"
"PAGGHOMM","Total male physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",57995,"E","Estimated value"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",8519,"E; B","Estimated value; Break"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",8773,"E; B","Estimated value; Break"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",8993,"E","Estimated value"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",9203,"E","Estimated value"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",9828,"E","Estimated value"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",10559,"E","Estimated value"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",11240,"E","Estimated value"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",11617,"E","Estimated value"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",12179,"E","Estimated value"
"PAGGMU35","Male physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",12395,"E","Estimated value"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",12111,"E; B","Estimated value; Break"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",12423,"E; B","Estimated value; Break"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",12865,"E","Estimated value"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",13165,"E","Estimated value"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",13316,"E","Estimated value"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",13557,"E","Estimated value"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",13859,"E","Estimated value"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",14152,"E","Estimated value"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",14388,"E","Estimated value"
"PAGGM344","Male physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",14540,"E","Estimated value"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",11219,"E; B","Estimated value; Break"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",11236,"E; B","Estimated value; Break"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",11336,"E","Estimated value"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",11477,"E","Estimated value"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",11634,"E","Estimated value"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",11847,"E","Estimated value"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",12083,"E","Estimated value"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",12350,"E","Estimated value"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",12681,"E","Estimated value"
"PAGGM454","Male physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",13013,"E","Estimated value"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",9231,"E; B","Estimated value; Break"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",9339,"E; B","Estimated value; Break"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",9450,"E","Estimated value"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",9727,"E","Estimated value"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",9836,"E","Estimated value"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",10167,"E","Estimated value"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",10219,"E","Estimated value"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",10309,"E","Estimated value"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",10331,"E","Estimated value"
"PAGGM564","Male physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",10411,"E","Estimated value"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",5823,"E; B; D","Estimated value; Break; Difference in methodology"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",4944,"E; B","Estimated value; Break"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",5250,"E","Estimated value"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",5291,"E","Estimated value"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",5488,"E","Estimated value"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",5647,"E","Estimated value"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",5683,"E","Estimated value"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",5873,"E","Estimated value"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",5938,"E","Estimated value"
"PAGGM65O","Male physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",6026,"E","Estimated value"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",75258,"E; B","Estimated value; Break"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",77974,"E; B","Estimated value; Break"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",80968,"E","Estimated value"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",83490,"E","Estimated value"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",86550,"E","Estimated value"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",90417,"E","Estimated value"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",93604,"E","Estimated value"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",97039,"E","Estimated value"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",100260,"E","Estimated value"
"PAGGTOPY","Total physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",103196,"E","Estimated value"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",17636,"E; B","Estimated value; Break"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",18493,"E; B","Estimated value; Break"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",19306,"E","Estimated value"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",19803,"E","Estimated value"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",20992,"E","Estimated value"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",22306,"E","Estimated value"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",23407,"E","Estimated value"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",24198,"E","Estimated value"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",25165,"E","Estimated value"
"PAGGTU35","Total physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",25560,"E","Estimated value"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",20422,"E; B","Estimated value; Break"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",21260,"E; B","Estimated value; Break"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",22341,"E","Estimated value"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",23205,"E","Estimated value"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",23931,"E","Estimated value"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",24919,"E","Estimated value"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",25777,"E","Estimated value"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",26952,"E","Estimated value"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",28087,"E","Estimated value"
"PAGGT344","Total physicians aged 35-44 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",29086,"E","Estimated value"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",17779,"E; B","Estimated value; Break"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",17954,"E; B","Estimated value; Break"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",18288,"E","Estimated value"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",18649,"E","Estimated value"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",19044,"E","Estimated value"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",19721,"E","Estimated value"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",20286,"E","Estimated value"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",21011,"E","Estimated value"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",21667,"E","Estimated value"
"PAGGT454","Total physicians aged 45-54 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",22437,"E","Estimated value"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",12670,"E; B","Estimated value; Break"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",12998,"E; B","Estimated value; Break"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",13419,"E","Estimated value"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",14020,"E","Estimated value"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",14416,"E","Estimated value"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",15028,"E","Estimated value"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",15387,"E","Estimated value"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",15738,"E","Estimated value"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",15994,"E","Estimated value"
"PAGGT564","Total physicians aged 55-64 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",16240,"E","Estimated value"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",6750,"E; B; D","Estimated value; Break; Difference in methodology"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",5898,"E; B","Estimated value; Break"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",6259,"E","Estimated value"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",6415,"E","Estimated value"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",6686,"E","Estimated value"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",6962,"E","Estimated value"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",7158,"E","Estimated value"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",7465,"E","Estimated value"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",7643,"E","Estimated value"
"PAGGT65O","Total physicians aged 65-74 years old","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",8006,"E","Estimated value"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",17807,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",18250,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",18744,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",19313,"B","Break"
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",19873,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",20418,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",21024,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",21549,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",22020,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",22664,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",23061,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",23745,,
"PAGGFEMM","Total female physicians","PERSMYNB","Number of persons (head counts)","AUT","Austria","2022","2022",24272,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",4553,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",4754,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",4558,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",4395,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",4038,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",4246,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",4837,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",4788,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",4689,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",4848,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",4915,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",5065,,
"PAGGFU35","Female physicians under 35 years old","PERSMYNB","Number of persons (head counts)","AUT","Austria","2022","2022",5025,,
