Anno;Codice Regione;Descrizione Regione;Codice Azienda;Tipo Azienda;Codice struttura;Denominazione struttura;Indirizzo;Codice Comune;Comune;Sigla provincia;Codice tipo struttura;Descrizione tipo struttura;Tipo di Disciplina;Posti letto degenza ordinaria;Posti letto degenza a pagamento;Posti letto Day Hospital;Posti letto Day Surgery;Totale posti letto
2020;010;PIEMONTE;204;1;010017;OSPEDALE CIVICO CHIVASSO                ;CORSO FERRARIS GALILEO 3                ;001082;CHIVASSO                                ;TO;1;Ospedale a gestione diretta;ACUTI;174;0;15;14;203
2020;010;PIEMONTE;204;1;010019;PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ;VIA BATTITORE 7/9                       ;001086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;ACUTI;260;0;27;15;302
2020;010;PIEMONTE;204;1;010019;PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ;VIA BATTITORE 7/9                       ;001086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;LUNGODEGENZA;25;0;0;0;25
2020;010;PIEMONTE;204;1;010019;PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ;VIA BATTITORE 7/9                       ;001086;CIRIE'                                  ;TO;1;Ospedale a gestione diretta;RIABILITAZIONE;30;0;0;0;30
2020;010;PIEMONTE;204;1;010023;OSPEDALI RIUNITI DEL CANAVESE           ;PIAZZA DELLA CREDENZA 2                 ;001125;IVREA                                   ;TO;1;Ospedale a gestione diretta;ACUTI;296;0;31;18;345
2020;010;PIEMONTE;204;1;010023;OSPEDALI RIUNITI DEL CANAVESE           ;PIAZZA DELLA CREDENZA 2                 ;001125;IVREA                                   ;TO;1;Ospedale a gestione diretta;LUNGODEGENZA;109;0;0;0;109
2020;010;PIEMONTE;204;1;010023;OSPEDALI RIUNITI DEL CANAVESE           ;PIAZZA DELLA CREDENZA 2                 ;001125;IVREA                                   ;TO;1;Ospedale a gestione diretta;RIABILITAZIONE;59;0;4;0;63
2020;010;PIEMONTE;204;1;010616;CLINICA EPOREDIESE                      ;VIA DELLA CASTIGLIA 27                  ;001125;IVREA                                   ;TO;5.1;Casa di cura privata accreditata;ACUTI;40;0;0;0;40
2020;010;PIEMONTE;204;1;010616;CLINICA EPOREDIESE                      ;VIA DELLA CASTIGLIA 27                  ;001125;IVREA                                   ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;11;0;0;0;11
2020;010;PIEMONTE;204;1;010617;CASA DI CURA VILLE TURINA AMIONE        ;VIA CARLO ANGELA 1                      ;001248;SAN MAURIZIO CANAVESE                   ;TO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;40;0;0;0;40
2020;010;PIEMONTE;204;1;010617;CASA DI CURA VILLE TURINA AMIONE        ;VIA CARLO ANGELA 1                      ;001248;SAN MAURIZIO CANAVESE                   ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;80;0;0;0;80
2020;010;PIEMONTE;204;1;010622;SANTA CROCE SRL                         ;VIA CHALLANT AYMONE 23                  ;001128;LANZO TORINESE                          ;TO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;30;0;0;0;30
2020;010;PIEMONTE;204;1;010622;SANTA CROCE SRL                         ;VIA CHALLANT AYMONE 23                  ;001128;LANZO TORINESE                          ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;70;0;0;0;70
2020;010;PIEMONTE;204;1;010644;VILLA GRAZIA SRL                        ;STRADA POLIGONO 8                       ;001237;SAN CARLO CANAVESE                      ;TO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;90;0;0;0;90
2020;010;PIEMONTE;204;1;010644;VILLA GRAZIA SRL                        ;STRADA POLIGONO 8                       ;001237;SAN CARLO CANAVESE                      ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;60;0;0;0;60
2020;010;PIEMONTE;204;1;010891;BEATA VERGINE CONSOLATA                 ;VIA FATEBENEFRATELLI 70                 ;001248;SAN MAURIZIO CANAVESE                   ;TO;8;Istituto qualificato presidio della U.S.L.;RIABILITAZIONE;149;0;16;0;165
2020;010;PIEMONTE;205;1;010004;OSPEDALI RIUNITI A.S.L. TO 5            ;VIA DE MARIA GIOVANNI 3                 ;001078;CHIERI                                  ;TO;1;Ospedale a gestione diretta;ACUTI;336;0;30;36;402
2020;010;PIEMONTE;205;1;010004;OSPEDALI RIUNITI A.S.L. TO 5            ;VIA DE MARIA GIOVANNI 3                 ;001078;CHIERI                                  ;TO;1;Ospedale a gestione diretta;LUNGODEGENZA;16;0;0;0;16
2020;010;PIEMONTE;205;1;010004;OSPEDALI RIUNITI A.S.L. TO 5            ;VIA DE MARIA GIOVANNI 3                 ;001078;CHIERI                                  ;TO;1;Ospedale a gestione diretta;RIABILITAZIONE;16;0;4;0;20
2020;010;PIEMONTE;205;1;010618;CASA DI CURA E RIPOSO S. LUCA S.P.A.    ;STRADA DELLA VETTA 3                    ;001183;PECETTO TORINESE                        ;TO;5.1;Casa di cura privata accreditata;ACUTI;64;0;0;19;83
2020;010;PIEMONTE;205;1;010618;CASA DI CURA E RIPOSO S. LUCA S.P.A.    ;STRADA DELLA VETTA 3                    ;001183;PECETTO TORINESE                        ;TO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;7;0;0;0;7
2020;010;PIEMONTE;205;1;010620;CASA DI CURA VILLA DI SALUTE SPA        ;VIALE DELLA RESISTENZA 24               ;001280;TROFARELLO                              ;TO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;30;0;0;0;30
2020;010;PIEMONTE;205;1;010620;CASA DI CURA VILLA DI SALUTE SPA        ;VIALE DELLA RESISTENZA 24               ;001280;TROFARELLO                              ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;35;0;0;0;35
2020;010;PIEMONTE;205;1;010648;ADRIANA S.R.L.                          ;VIA ROBIOLA 6                           ;001012;ARIGNANO                                ;TO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;50;0;0;0;50
2020;010;PIEMONTE;205;1;010648;ADRIANA S.R.L.                          ;VIA ROBIOLA 6                           ;001012;ARIGNANO                                ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;37;0;0;0;37
2020;010;PIEMONTE;205;1;010661;POLICLINICO SAN LUCA S.R.L.             ;VIA RACCONIGI 8                         ;001059;CARMAGNOLA                              ;TO;5.1;Casa di cura privata accreditata;ACUTI;0;0;0;2;2
2020;010;PIEMONTE;206;1;010009;OSPEDALE UNICO DEL VERCELLESE           ;CORSO ABBIATE MARIO 21                  ;002158;VERCELLI                                ;VC;1;Ospedale a gestione diretta;ACUTI;295;0;15;19;329
2020;010;PIEMONTE;206;1;010626;POLICLINICO DI MONZA SPA                ;VIALE DELLA AERONAUTICA 14              ;002158;VERCELLI                                ;VC;5.1;Casa di cura privata accreditata;ACUTI;90;0;0;0;90
2020;010;PIEMONTE;206;1;010626;POLICLINICO DI MONZA SPA                ;VIALE DELLA AERONAUTICA 14              ;002158;VERCELLI                                ;VC;5.1;Casa di cura privata accreditata;RIABILITAZIONE;20;0;0;0;20
2020;010;PIEMONTE;206;1;010657;CASA DI CURA CENTRO R.R.F. MONS. LUIGI N;LOCALITA' TROMPONE 1                    ;002079;MONCRIVELLO                             ;VC;5.1;Casa di cura privata accreditata;RIABILITAZIONE;90;0;0;0;90
2020;010;PIEMONTE;207;1;010032;OSPEDALE DEGLI INFERMI                  ;VIA DEI PONDERANESI 2                   ;096047;PONDERANO                               ;BI;1;Ospedale a gestione diretta;ACUTI;354;0;37;12;403
2020;010;PIEMONTE;207;1;010032;OSPEDALE DEGLI INFERMI                  ;VIA DEI PONDERANESI 2                   ;096047;PONDERANO                               ;BI;1;Ospedale a gestione diretta;LUNGODEGENZA;21;0;0;0;21
2020;010;PIEMONTE;207;1;010032;OSPEDALE DEGLI INFERMI                  ;VIA DEI PONDERANESI 2                   ;096047;PONDERANO                               ;BI;1;Ospedale a gestione diretta;RIABILITAZIONE;22;0;1;0;23
2020;010;PIEMONTE;207;1;010627;CASA DI CURA SAN GIORGIO SRL            ;VIA GATTINARA 16                        ;096080;VIVERONE                                ;BI;5.1;Casa di cura privata accreditata;RIABILITAZIONE;28;0;0;0;28
2020;010;PIEMONTE;207;1;010656;POLICLINICO DI MONZA S.P.A. PRESIDIO CLI;VIA RAMELLA GERMANIN ERIBERTO 26        ;096004;BIELLA                                  ;BI;5.1;Casa di cura privata accreditata;ACUTI;17;0;0;0;17
2020;010;PIEMONTE;207;1;010656;POLICLINICO DI MONZA S.P.A. PRESIDIO CLI;VIA RAMELLA GERMANIN ERIBERTO 26        ;096004;BIELLA                                  ;BI;5.1;Casa di cura privata accreditata;LUNGODEGENZA;10;0;0;0;10
2020;010;PIEMONTE;207;1;010656;POLICLINICO DI MONZA S.P.A. PRESIDIO CLI;VIA RAMELLA GERMANIN ERIBERTO 26        ;096004;BIELLA                                  ;BI;5.1;Casa di cura privata accreditata;RIABILITAZIONE;10;0;0;0;10
2020;010;PIEMONTE;208;1;010006;ISTITUTO S.S. TRINIT¿ - BORGOMANERO     ;VIALE ZOPPIS 10                         ;003024;BORGOMANERO                             ;NO;1;Ospedale a gestione diretta;ACUTI;203;0;6;17;226
2020;010;PIEMONTE;208;1;010628;POLICLINICO DI MONZA SPA                ;VIA BOTTINI ENRICO 3                    ;003106;NOVARA                                  ;NO;5.1;Casa di cura privata accreditata;ACUTI;58;0;0;0;58
2020;010;PIEMONTE;208;1;010630;CASA DI CURA S.CARLO DI ARONA           ;VIA OLEGGIO CASTELLO 8                  ;003008;ARONA                                   ;NO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;42;0;0;0;42
2020;010;PIEMONTE;208;1;010649;I CEDRI;LARGO DON GUANELLA 1;003065;FARA NOVARESE                           ;NO;5.1;Casa di cura privata accreditata;ACUTI;14;0;0;0;14
2020;010;PIEMONTE;208;1;010649;I CEDRI;LARGO DON GUANELLA 1;003065;FARA NOVARESE                           ;NO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;18;0;0;0;18
2020;010;PIEMONTE;208;1;010665;CASA DI CURA VILLA CRISTINA             ;CASE SPARSE POGGIO RADIOSO A STRADA DORS;003103;NEBBIUNO                                ;NO;5.1;Casa di cura privata accreditata;LUNGODEGENZA;20;0;0;0;20
2020;010;PIEMONTE;208;1;010665;CASA DI CURA VILLA CRISTINA             ;CASE SPARSE POGGIO RADIOSO A STRADA DORS;003103;NEBBIUNO                                ;NO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;90;0;0;0;90
2020;010;PIEMONTE;209;1;010005;OSPEDALE UNICO PLURISEDE                ;VIA MAZZINI GIUSEPPE 117                ;103050;OMEGNA                                  ;VB;1;Ospedale a gestione diretta;ACUTI;274;0;29;32;335
2020;010;PIEMONTE;209;1;010005;OSPEDALE UNICO PLURISEDE                ;VIA MAZZINI GIUSEPPE 117                ;103050;OMEGNA                                  ;VB;1;Ospedale a gestione diretta;RIABILITAZIONE;28;0;0;0;28
2020;010;PIEMONTE;209;1;010629;CASA DI CURA L'EREMO DI MIAZZINA        ;VIA PER MIAZZINA 16                     ;103015;CAMBIASCA                               ;VB;5.1;Casa di cura privata accreditata;LUNGODEGENZA;60;0;0;0;60
2020;010;PIEMONTE;209;1;010629;CASA DI CURA L'EREMO DI MIAZZINA        ;VIA PER MIAZZINA 16                     ;103015;CAMBIASCA                               ;VB;5.1;Casa di cura privata accreditata;RIABILITAZIONE;126;0;0;0;126
2020;010;PIEMONTE;210;1;010124;PRESIDIO OSPEDALIERO AREA SUD - CN1     ;STRADA DI SAN ROCCHETTO 99              ;004130;MONDOVI'                                ;CN;1;Ospedale a gestione diretta;ACUTI;191;0;9;13;213
2020;010;PIEMONTE;210;1;010124;PRESIDIO OSPEDALIERO AREA SUD - CN1     ;STRADA DI SAN ROCCHETTO 99              ;004130;MONDOVI'                                ;CN;1;Ospedale a gestione diretta;RIABILITAZIONE;22;0;2;0;24
2020;010;PIEMONTE;210;1;010126;PRESIDIO OSPEDALIERO AREA NORD - CN1    ;VIA OSPEDALI 14                         ;004215;SAVIGLIANO                              ;CN;1;Ospedale a gestione diretta;ACUTI;317;0;8;26;351
2020;010;PIEMONTE;210;1;010126;PRESIDIO OSPEDALIERO AREA NORD - CN1    ;VIA OSPEDALI 14                         ;004215;SAVIGLIANO                              ;CN;1;Ospedale a gestione diretta;LUNGODEGENZA;20;0;0;0;20
2020;010;PIEMONTE;210;1;010126;PRESIDIO OSPEDALIERO AREA NORD - CN1    ;VIA OSPEDALI 14                         ;004215;SAVIGLIANO                              ;CN;1;Ospedale a gestione diretta;RIABILITAZIONE;52;0;4;0;56
2020;010;PIEMONTE;210;1;010633;EX ISTITUTO CLIMATICO DI ROBILANTE DEL D;STRADA VALLONE FANTINO 2                ;004185;ROBILANTE                               ;CN;5.1;Casa di cura privata accreditata;LUNGODEGENZA;36;0;0;0;36
2020;010;PIEMONTE;210;1;010633;EX ISTITUTO CLIMATICO DI ROBILANTE DEL D;STRADA VALLONE FANTINO 2                ;004185;ROBILANTE                               ;CN;5.1;Casa di cura privata accreditata;RIABILITAZIONE;30;0;0;0;30
2020;010;PIEMONTE;210;1;010634;CASA DI CURA MONTESERRAT S.R.L          ;VIA VALGRANA 6/8                        ;004040;CARAGLIO                                ;CN;5.1;Casa di cura privata accreditata;LUNGODEGENZA;41;0;0;0;41
2020;010;PIEMONTE;210;1;010647;FONDAZIONE ORIZZONTE SPERANZA - ONLUS CA;VIA MELLANA 7                           ;004028;BOVES                                   ;CN;5.1;Casa di cura privata accreditata;RIABILITAZIONE;60;0;0;0;60
2020;010;PIEMONTE;211;1;010120;OSP. S.LAZZARO-ALBA E S.SPRITO BRA      ;VIA BELLI PIERINO 26                    ;004003;ALBA                                    ;CN;1;Ospedale a gestione diretta;ACUTI;236;0;38;29;303
2020;010;PIEMONTE;211;1;010120;OSP. S.LAZZARO-ALBA E S.SPRITO BRA      ;VIA BELLI PIERINO 26                    ;004003;ALBA                                    ;CN;1;Ospedale a gestione diretta;RIABILITAZIONE;0;0;2;0;2
2020;010;PIEMONTE;211;1;010631;CASA DI CURA SAN MICHELE                ;STRADA SAN MICHELE 2                    ;004029;BRA                                     ;CN;5.1;Casa di cura privata accreditata;ACUTI;13;0;0;0;13
2020;010;PIEMONTE;211;1;010631;CASA DI CURA SAN MICHELE                ;STRADA SAN MICHELE 2                    ;004029;BRA                                     ;CN;5.1;Casa di cura privata accreditata;LUNGODEGENZA;13;0;0;0;13
2020;010;PIEMONTE;211;1;010631;CASA DI CURA SAN MICHELE                ;STRADA SAN MICHELE 2                    ;004029;BRA                                     ;CN;5.1;Casa di cura privata accreditata;RIABILITAZIONE;54;0;0;0;54
2020;010;PIEMONTE;211;1;010632;CASA DI CURA CITTA' DI BRA              ;STRADA MONTENERO 1                      ;004029;BRA                                     ;CN;5.1;Casa di cura privata accreditata;ACUTI;99;0;0;14;113
2020;010;PIEMONTE;211;1;010632;CASA DI CURA CITTA' DI BRA              ;STRADA MONTENERO 1                      ;004029;BRA                                     ;CN;5.1;Casa di cura privata accreditata;RIABILITAZIONE;11;0;0;0;11
2020;010;PIEMONTE;211;1;010635;"CASA DI CURA ""LA RESIDENZA""             ";VIA ROMA 1                              ;004196;RODELLO                                 ;CN;5.1;Casa di cura privata accreditata;RIABILITAZIONE;100;0;0;0;100
2020;010;PIEMONTE;212;1;010008;OSPEDALI RIUNITI ASL AT;CORSO DANTE 202;005005;ASTI                                    ;AT;1;Ospedale a gestione diretta;ACUTI;397;0;27;17;441
2020;010;PIEMONTE;212;1;010008;OSPEDALI RIUNITI ASL AT;CORSO DANTE 202;005005;ASTI                                    ;AT;1;Ospedale a gestione diretta;LUNGODEGENZA;40;0;0;0;40
2020;010;PIEMONTE;212;1;010008;OSPEDALI RIUNITI ASL AT;CORSO DANTE 202;005005;ASTI                                    ;AT;1;Ospedale a gestione diretta;RIABILITAZIONE;18;0;0;0;18
2020;010;PIEMONTE;212;1;010639;CASA DI CURA S. ANNA SPA                ;VIA URBANI 46                           ;005005;ASTI                                    ;AT;5.1;Casa di cura privata accreditata;RIABILITAZIONE;59;0;0;0;59
2020;010;PIEMONTE;213;1;010026;OSPEDALI RIUNITI ASL AL                 ;VIA VENEZIA 6                           ;006003;ALESSANDRIA                             ;AL;1;Ospedale a gestione diretta;ACUTI;581;0;50;86;717
2020;010;PIEMONTE;213;1;010026;OSPEDALI RIUNITI ASL AL                 ;VIA VENEZIA 6                           ;006003;ALESSANDRIA                             ;AL;1;Ospedale a gestione diretta;RIABILITAZIONE;40;0;0;0;40
2020;010;PIEMONTE;213;1;010641;CASA DI CURA VILLA IGEA;STRADA MOIRANO 2;006001;ACQUI TERME                             ;AL;5.1;Casa di cura privata accreditata;ACUTI;29;0;0;6;35
2020;010;PIEMONTE;213;1;010641;CASA DI CURA VILLA IGEA;STRADA MOIRANO 2;006001;ACQUI TERME                             ;AL;5.1;Casa di cura privata accreditata;RIABILITAZIONE;26;0;0;0;26
2020;010;PIEMONTE;213;1;010642;CASA DI CURA SANT'ANNA                  ;VIALE CAVALLI D'OLIVOLA 22              ;006039;CASALE MONFERRATO                       ;AL;5.1;Casa di cura privata accreditata;RIABILITAZIONE;72;0;0;0;72
2020;010;PIEMONTE;213;1;010666;POLICLINICO DI MONZA                    ;VIA MOCCAGATTA VITTORIO 30              ;006003;ALESSANDRIA                             ;AL;5.1;Casa di cura privata accreditata;ACUTI;86;0;0;4;90
2020;010;PIEMONTE;213;1;010666;POLICLINICO DI MONZA                    ;VIA MOCCAGATTA VITTORIO 30              ;006003;ALESSANDRIA                             ;AL;5.1;Casa di cura privata accreditata;RIABILITAZIONE;58;0;0;0;58
2020;010;PIEMONTE;301;1;010003;OSPEDALE MARIA VITTORIA                 ;VIA CIBRARIO LUIGI 72                   ;001272;TORINO                                  ;TO;1;Ospedale a gestione diretta;ACUTI;274;0;13;23;310
2020;010;PIEMONTE;301;1;010007;OSPEDALE MARTINI                        ;VIA TOFANE 71                           ;001272;TORINO                                  ;TO;1;Ospedale a gestione diretta;ACUTI;227;0;17;13;257
2020;010;PIEMONTE;301;1;010010;OSPEDALE OFTALMICO                      ;VIA JUVARRA FILIPPO 19                  ;001272;TORINO                                  ;TO;1;Ospedale a gestione diretta;ACUTI;28;0;0;25;53
2020;010;PIEMONTE;301;1;010011;TORINO NORD EMERGENZA SAN GIOVANNI BOSCO;PIAZZA DEL DONATORE DI SANGUE 3         ;001272;TORINO                                  ;TO;1;Ospedale a gestione diretta;ACUTI;319;0;40;2;361
2020;010;PIEMONTE;301;1;010013;OSPEDALE AMEDEO DI SAVOIA               ;CORSO SVIZZERA 164/A                    ;001272;TORINO                                  ;TO;1;Ospedale a gestione diretta;ACUTI;66;0;24;0;90
2020;010;PIEMONTE;301;1;010611;VILLA MARIA PIA HOSPITAL                ;STRADA COMUNALE DI MONGRENO 180         ;001272;TORINO                                  ;TO;5.1;Casa di cura privata accreditata;ACUTI;101;0;2;12;115
2020;010;PIEMONTE;301;1;010611;VILLA MARIA PIA HOSPITAL                ;STRADA COMUNALE DI MONGRENO 180         ;001272;TORINO                                  ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;20;0;0;0;20
2020;010;PIEMONTE;301;1;010612;CASA DI CURA KOELLIKER OSPEDALINO       ;CORSO FERRARIS GALILEO 255              ;001272;TORINO                                  ;TO;5.1;Casa di cura privata accreditata;ACUTI;84;0;0;21;105
2020;010;PIEMONTE;301;1;010612;CASA DI CURA KOELLIKER OSPEDALINO       ;CORSO FERRARIS GALILEO 255              ;001272;TORINO                                  ;TO;5.1;Casa di cura privata accreditata;RIABILITAZIONE;30;0;0;0;30
2020;010;PIEMONTE;301;1;010653;PROMEA S.P.A.                           ;VIA MENABREA FEDERICO 14                ;001272;TORINO                                  ;TO;5.1;Casa di cura privata accreditata;ACUTI;0;0;0;9;9
2020;010;PIEMONTE;301;1;010655;CASA DI CURA CELLINI                    ;VIA CELLINI BENVENUTO 5                 ;001272;TORINO                                  ;TO;5.1;Casa di cura privata accreditata;ACUTI;79;0;0;17;96
2020;010;PIEMONTE;301;1;010668;LARC SPA DAY SURGERY TIPO C             ;CORSO VENEZIA 10/A                      ;001272;TORINO                                  ;TO;5.1;Casa di cura privata accreditata;ACUTI;0;0;0;3;3
2020;010;PIEMONTE;301;1;010892;PRESIDIO SANITARIO GRADENIGO            ;CORSO REGINA MARGHERITA 8               ;001272;TORINO                                  ;TO;8;Istituto qualificato presidio della U.S.L.;ACUTI;123;0;26;20;169
2020;010;PIEMONTE;301;1;010892;PRESIDIO SANITARIO GRADENIGO            ;CORSO REGINA MARGHERITA 8               ;001272;TORINO                                  ;TO;8;Istituto qualificato presidio della U.S.L.;RIABILITAZIONE;15;0;0;0;15
2020;010;PIEMONTE;301;1;010893;PRESIDIO SANITARIO SAN CAMILLO          ;STRADA COMUNALE SANTA MARGHERITA 136    ;001272;TORINO                                  ;TO;8;Istituto qualificato presidio della U.S.L.;RIABILITAZIONE;100;0;20;0;120
2020;010;PIEMONTE;301;1;010897;PRESIDIO SANITARIO OSPEDALE COTTOLENGO  ;VIA SAN GIUSEPPE BENEDETTO COTTOLENGO 9 ;001272;TORINO                                  ;TO;8;Istituto qualificato presidio della U.S.L.;ACUTI;96;0;1;16;113
2020;010;PIEMONTE;301;1;010897;PRESIDIO SANITARIO OSPEDALE COTTOLENGO  ;VIA SAN GIUSEPPE BENEDETTO COTTOLENGO 9 ;001272;TORINO                                  ;TO;8;Istituto qualificato presidio della U.S.L.;LUNGODEGENZA;20;0;0;0;20
2020;010;PIEMONTE;301;1;010897;PRESIDIO SANITARIO OSPEDALE COTTOLENGO  ;VIA SAN GIUSEPPE BENEDETTO COTTOLENGO 9 ;001272;TORINO                                  ;TO;8;Istituto qualificato presidio della U.S.L.;RIABILITAZIONE;19;0;0;0;19
2020;010;PIEMONTE;301;1;010898;PRESIDIO MAJOR                          ;VIA SANTA GIULIA 60                     ;001272;TORINO                                  ;TO;8;Istituto qualificato presidio della U.S.L.;RIABILITAZIONE;80;0;0;0;80
2020;010;PIEMONTE;301;1;010999;AUSILIATRICE DON GNOCCHI                ;VIALE SETTIMIO SEVERO 65                ;001272;TORINO                                  ;TO;8;Istituto qualificato presidio della U.S.L.;RIABILITAZIONE;66;0;0;0;66
2020;010;PIEMONTE;904;2;010904;AZIENDA OSPEDALIERO UNIVERSITARIA S.LUIG;REGIONE GONZOLE 10                      ;001171;ORBASSANO                               ;TO;2.2;Azienda Ospedaliera integrata con l'Università;ACUTI;314;0;54;13;381
2020;010;PIEMONTE;904;2;010904;AZIENDA OSPEDALIERO UNIVERSITARIA S.LUIG;REGIONE GONZOLE 10                      ;001171;ORBASSANO                               ;TO;2.2;Azienda Ospedaliera integrata con l'Università;LUNGODEGENZA;4;0;0;0;4
2020;010;PIEMONTE;904;2;010904;AZIENDA OSPEDALIERO UNIVERSITARIA S.LUIG;REGIONE GONZOLE 10                      ;001171;ORBASSANO                               ;TO;2.2;Azienda Ospedaliera integrata con l'Università;RIABILITAZIONE;20;0;2;0;22
2020;010;PIEMONTE;905;2;010905;AZIENDA OSPED. NOVARA E GALLIATE        ;CORSO MAZZINI GIUSEPPE 18               ;003106;NOVARA                                  ;NO;2.2;Azienda Ospedaliera integrata con l'Università;ACUTI;534;0;70;38;642
2020;010;PIEMONTE;905;2;010905;AZIENDA OSPED. NOVARA E GALLIATE        ;CORSO MAZZINI GIUSEPPE 18               ;003106;NOVARA                                  ;NO;2.2;Azienda Ospedaliera integrata con l'Università;RIABILITAZIONE;34;0;7;0;41
2020;010;PIEMONTE;906;2;010906;AZ. OSPEDAL. S. CROCE E CARLE           ;VIA COPPINO MICHELE 26                  ;004078;CUNEO                                   ;CN;0;Azienda Ospedaliera;ACUTI;590;0;36;16;642
2020;010;PIEMONTE;906;2;010906;AZ. OSPEDAL. S. CROCE E CARLE           ;VIA COPPINO MICHELE 26                  ;004078;CUNEO                                   ;CN;0;Azienda Ospedaliera;LUNGODEGENZA;9;0;0;0;9
2020;010;PIEMONTE;907;2;010907;AZ. SS.ANTONIO E BIAGIO E C.ARRIGO      ;VIA VENEZIA 16                          ;006003;ALESSANDRIA                             ;AL;0;Azienda Ospedaliera;ACUTI;489;0;48;41;578
