"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2011","2011",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2012","2012",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2013","2013",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2014","2014",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2015","2015",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2016","2016",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2017","2017",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2018","2018",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2019","2019",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2020","2020",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2021","2021",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2000","2000",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2001","2001",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2002","2002",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2003","2003",1,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2004","2004",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2005","2005",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2006","2006",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2007","2007",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2008","2008",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2009","2009",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2010","2010",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2011","2011",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2012","2012",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2013","2013",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2014","2014",1,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2015","2015",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2016","2016",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2017","2017",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2018","2018",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2019","2019",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2020","2020",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2021","2021",0,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2022","2022",0,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2000","2000",5,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2001","2001",1,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2002","2002",5,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2003","2003",7,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2004","2004",11,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2005","2005",10,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2006","2006",8,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2007","2007",11,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2008","2008",11,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2009","2009",6,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2010","2010",1,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2011","2011",7,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2012","2012",3,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2013","2013",3,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2014","2014",8,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2015","2015",3,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2016","2016",4,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2017","2017",4,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2018","2018",4,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2019","2019",13,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2020","2020",5,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2021","2021",7,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2002","2002",5,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2003","2003",5,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2004","2004",3,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2005","2005",2,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2006","2006",1,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2007","2007",2,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2008","2008",0,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2009","2009",1,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2010","2010",1,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2011","2011",0,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2012","2012",2,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2013","2013",1,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2014","2014",0,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2015","2015",1,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2016","2016",2,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2017","2017",1,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2018","2018",2,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2019","2019",3,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2020","2020",1,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","AFG","Afghanistan","2021","2021",3,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2010","2010",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2014","2014",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2015","2015",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2019","2019",0,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2020","2020",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2021","2021",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2022","2022",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2000","2000",1,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2001","2001",3,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2002","2002",4,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2003","2003",2,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2004","2004",2,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2005","2005",1,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2006","2006",4,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2007","2007",6,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2008","2008",5,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2009","2009",4,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2010","2010",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2011","2011",6,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2012","2012",2,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2013","2013",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2014","2014",3,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2015","2015",2,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2016","2016",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2017","2017",1,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2018","2018",1,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2019","2019",1,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2020","2020",1,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2021","2021",0,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2001","2001",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2002","2002",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2004","2004",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2006","2006",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2010","2010",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2011","2011",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2012","2012",3,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2013","2013",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2014","2014",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2015","2015",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2016","2016",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2017","2017",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2018","2018",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2019","2019",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2020","2020",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2021","2021",0,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2012","2012",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2000","2000",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2003","2003",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2004","2004",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2005","2005",2,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2010","2010",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2012","2012",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2013","2013",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2017","2017",1,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2000","2000",3,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2001","2001",2,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2002","2002",2,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2003","2003",2,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2004","2004",1,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2005","2005",6,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2006","2006",3,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2007","2007",5,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2008","2008",2,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2009","2009",2,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2010","2010",4,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2011","2011",1,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2012","2012",2,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2013","2013",2,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2014","2014",1,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2015","2015",1,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2016","2016",4,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2017","2017",3,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2019","2019",4,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2020","2020",4,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2021","2021",10,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2002","2002",14,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2003","2003",12,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2004","2004",12,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2005","2005",5,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2006","2006",6,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2007","2007",9,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2008","2008",7,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2009","2009",5,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2010","2010",7,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2011","2011",1,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2012","2012",6,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2013","2013",5,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2014","2014",2,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2015","2015",3,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2016","2016",9,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2017","2017",4,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2018","2018",5,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2019","2019",5,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2020","2020",6,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2021","2021",2,,
"SVN","Slovenia","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2001","2001",1,,
"SVN","Slovenia","IFTD","Foreign-trained doctors - Annual inflow","ALB","Albania","2003","2003",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2008","2008",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2010","2010",21,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2011","2011",17,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2012","2012",16,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2013","2013",7,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2014","2014",5,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2015","2015",6,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2016","2016",4,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2017","2017",11,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2018","2018",18,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2019","2019",11,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2020","2020",12,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2021","2021",13,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2022","2022",10,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2000","2000",2,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2001","2001",3,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2002","2002",7,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2003","2003",4,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2004","2004",19,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2005","2005",16,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2006","2006",11,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2007","2007",23,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2008","2008",23,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2009","2009",13,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2010","2010",17,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2011","2011",17,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2012","2012",14,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2013","2013",8,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2014","2014",7,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2015","2015",6,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2016","2016",9,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2017","2017",10,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2018","2018",8,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2019","2019",5,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2020","2020",5,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2021","2021",12,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2000","2000",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2005","2005",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2010","2010",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2011","2011",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2011","2011",279,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2012","2012",215,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2013","2013",240,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2014","2014",258,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2015","2015",257,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2016","2016",242,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2017","2017",245,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2018","2018",178,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2019","2019",111,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2020","2020",159,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2021","2021",215,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2008","2008",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2000","2000",3,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2001","2001",2,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2002","2002",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2003","2003",5,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","DZA","Algeria","2005","2005",3,,
