Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Italy,ITA,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.7
Italy,ITA,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.5
Italy,ITA,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.3
Italy,ITA,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.2
Italy,ITA,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.2
Italy,ITA,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.1
Italy,ITA,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.1
Italy,ITA,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12
Italy,ITA,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12
Italy,ITA,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12
Italy,ITA,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12
Italy,ITA,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.1
Italy,ITA,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.3
Italy,ITA,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,13.5
Italy,ITA,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,13.2
Italy,ITA,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,12.9
Italy,ITA,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,12.6
Italy,ITA,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,12.3
Italy,ITA,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,12.1
Italy,ITA,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.9
Italy,ITA,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.6
Italy,ITA,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.5
Italy,ITA,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.4
Italy,ITA,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.3
Italy,ITA,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.4
Italy,ITA,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.4
Italy,ITA,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.4
Italy,ITA,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.4
Italy,ITA,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.4
Italy,ITA,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.5
Italy,ITA,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.6
Italy,ITA,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.6
Italy,ITA,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.8
Italy,ITA,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,5.50478804647942
Italy,ITA,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,5.12217927744996
Italy,ITA,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,3.62593178697899
Italy,ITA,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,3.35249801402614
Italy,ITA,2021,Number of infant deaths,SH.DTH.IMRT,915
Italy,ITA,2020,Number of infant deaths,SH.DTH.IMRT,988
Italy,ITA,2019,Number of infant deaths,SH.DTH.IMRT,1085
Italy,ITA,2018,Number of infant deaths,SH.DTH.IMRT,1193
Italy,ITA,2017,Number of infant deaths,SH.DTH.IMRT,1296
Italy,ITA,2016,Number of infant deaths,SH.DTH.IMRT,1383
Italy,ITA,2015,Number of infant deaths,SH.DTH.IMRT,1462
Italy,ITA,2014,Number of infant deaths,SH.DTH.IMRT,1543
Italy,ITA,2013,Number of infant deaths,SH.DTH.IMRT,1637
Italy,ITA,2012,Number of infant deaths,SH.DTH.IMRT,1735
Italy,ITA,2011,Number of infant deaths,SH.DTH.IMRT,1824
Italy,ITA,2010,Number of infant deaths,SH.DTH.IMRT,1905
Italy,ITA,2009,Number of infant deaths,SH.DTH.IMRT,1969
Italy,ITA,2008,Number of infant deaths,SH.DTH.IMRT,1998
Italy,ITA,2007,Number of infant deaths,SH.DTH.IMRT,2013
Italy,ITA,2006,Number of infant deaths,SH.DTH.IMRT,2052
Italy,ITA,2005,Number of infant deaths,SH.DTH.IMRT,2110
Italy,ITA,2004,Number of infant deaths,SH.DTH.IMRT,2156
Italy,ITA,2003,Number of infant deaths,SH.DTH.IMRT,2200
Italy,ITA,2002,Number of infant deaths,SH.DTH.IMRT,2292
Italy,ITA,2001,Number of infant deaths,SH.DTH.IMRT,2418
Italy,ITA,2000,Number of infant deaths,SH.DTH.IMRT,2551
Italy,ITA,1999,Number of infant deaths,SH.DTH.IMRT,2667
Italy,ITA,1998,Number of infant deaths,SH.DTH.IMRT,2812
Italy,ITA,1997,Number of infant deaths,SH.DTH.IMRT,2981
Italy,ITA,1996,Number of infant deaths,SH.DTH.IMRT,3155
Italy,ITA,1995,Number of infant deaths,SH.DTH.IMRT,3389
Italy,ITA,1994,Number of infant deaths,SH.DTH.IMRT,3694
Italy,ITA,1993,Number of infant deaths,SH.DTH.IMRT,4045
Italy,ITA,1992,Number of infant deaths,SH.DTH.IMRT,4331
Italy,ITA,1991,Number of infant deaths,SH.DTH.IMRT,4545
Italy,ITA,1990,Number of infant deaths,SH.DTH.IMRT,4725
Italy,ITA,1989,Number of infant deaths,SH.DTH.IMRT,4894
Italy,ITA,1988,Number of infant deaths,SH.DTH.IMRT,5049
Italy,ITA,1987,Number of infant deaths,SH.DTH.IMRT,5223
Italy,ITA,1986,Number of infant deaths,SH.DTH.IMRT,5613
Italy,ITA,1985,Number of infant deaths,SH.DTH.IMRT,6112
Italy,ITA,1984,Number of infant deaths,SH.DTH.IMRT,6639
Italy,ITA,1983,Number of infant deaths,SH.DTH.IMRT,7245
Italy,ITA,1982,Number of infant deaths,SH.DTH.IMRT,7824
Italy,ITA,1981,Number of infant deaths,SH.DTH.IMRT,8413
Italy,ITA,1980,Number of infant deaths,SH.DTH.IMRT,9228
Italy,ITA,1979,Number of infant deaths,SH.DTH.IMRT,10295
Italy,ITA,1978,Number of infant deaths,SH.DTH.IMRT,11528
Italy,ITA,1977,Number of infant deaths,SH.DTH.IMRT,12989
Italy,ITA,1976,Number of infant deaths,SH.DTH.IMRT,14855
Italy,ITA,1975,Number of infant deaths,SH.DTH.IMRT,17120
Italy,ITA,1974,Number of infant deaths,SH.DTH.IMRT,19306
Italy,ITA,1973,Number of infant deaths,SH.DTH.IMRT,21268
Italy,ITA,1972,Number of infant deaths,SH.DTH.IMRT,23373
Italy,ITA,1971,Number of infant deaths,SH.DTH.IMRT,25170
Italy,ITA,1970,Number of infant deaths,SH.DTH.IMRT,26858
Italy,ITA,1969,Number of infant deaths,SH.DTH.IMRT,28586
Italy,ITA,1968,Number of infant deaths,SH.DTH.IMRT,29858
Italy,ITA,1967,Number of infant deaths,SH.DTH.IMRT,31414
Italy,ITA,1966,Number of infant deaths,SH.DTH.IMRT,33252
Italy,ITA,1965,Number of infant deaths,SH.DTH.IMRT,35216
Italy,ITA,1964,Number of infant deaths,SH.DTH.IMRT,36293
Italy,ITA,1963,Number of infant deaths,SH.DTH.IMRT,36516
Italy,ITA,1962,Number of infant deaths,SH.DTH.IMRT,37461
Italy,ITA,1961,Number of infant deaths,SH.DTH.IMRT,38497
Italy,ITA,1960,Number of infant deaths,SH.DTH.IMRT,39645
Italy,ITA,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,3.85670624309975
Italy,ITA,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,3.72884061667593
Italy,ITA,2010,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.1272223583359
Italy,ITA,2000,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.69713283053534
Italy,ITA,2021,Number of under-five deaths,SH.DTH.MORT,1081
Italy,ITA,2020,Number of under-five deaths,SH.DTH.MORT,1173
Italy,ITA,2019,Number of under-five deaths,SH.DTH.MORT,1290
Italy,ITA,2018,Number of under-five deaths,SH.DTH.MORT,1418
Italy,ITA,2017,Number of under-five deaths,SH.DTH.MORT,1540
Italy,ITA,2016,Number of under-five deaths,SH.DTH.MORT,1645
Italy,ITA,2015,Number of under-five deaths,SH.DTH.MORT,1741
Italy,ITA,2014,Number of under-five deaths,SH.DTH.MORT,1837
Italy,ITA,2013,Number of under-five deaths,SH.DTH.MORT,1945
Italy,ITA,2012,Number of under-five deaths,SH.DTH.MORT,2055
Italy,ITA,2011,Number of under-five deaths,SH.DTH.MORT,2154
Italy,ITA,2010,Number of under-five deaths,SH.DTH.MORT,2243
Italy,ITA,2009,Number of under-five deaths,SH.DTH.MORT,2313
Italy,ITA,2008,Number of under-five deaths,SH.DTH.MORT,2347
Italy,ITA,2007,Number of under-five deaths,SH.DTH.MORT,2367
Italy,ITA,2006,Number of under-five deaths,SH.DTH.MORT,2411
Italy,ITA,2005,Number of under-five deaths,SH.DTH.MORT,2477
Italy,ITA,2004,Number of under-five deaths,SH.DTH.MORT,2535
Italy,ITA,2003,Number of under-five deaths,SH.DTH.MORT,2594
Italy,ITA,2002,Number of under-five deaths,SH.DTH.MORT,2704
Italy,ITA,2001,Number of under-five deaths,SH.DTH.MORT,2847
Italy,ITA,2000,Number of under-five deaths,SH.DTH.MORT,2997
Italy,ITA,1999,Number of under-five deaths,SH.DTH.MORT,3134
Italy,ITA,1998,Number of under-five deaths,SH.DTH.MORT,3306
Italy,ITA,1997,Number of under-five deaths,SH.DTH.MORT,3509
Italy,ITA,1996,Number of under-five deaths,SH.DTH.MORT,3722
Italy,ITA,1995,Number of under-five deaths,SH.DTH.MORT,3996
Italy,ITA,1994,Number of under-five deaths,SH.DTH.MORT,4338
Italy,ITA,1993,Number of under-five deaths,SH.DTH.MORT,4719
Italy,ITA,1992,Number of under-five deaths,SH.DTH.MORT,5029
Italy,ITA,1991,Number of under-five deaths,SH.DTH.MORT,5259
Italy,ITA,1990,Number of under-five deaths,SH.DTH.MORT,5452
Italy,ITA,1989,Number of under-five deaths,SH.DTH.MORT,5635
Italy,ITA,1988,Number of under-five deaths,SH.DTH.MORT,5816
Italy,ITA,1987,Number of under-five deaths,SH.DTH.MORT,6027
Italy,ITA,1986,Number of under-five deaths,SH.DTH.MORT,6461
Italy,ITA,1985,Number of under-five deaths,SH.DTH.MORT,7009
Italy,ITA,1984,Number of under-five deaths,SH.DTH.MORT,7596
Italy,ITA,1983,Number of under-five deaths,SH.DTH.MORT,8277
Italy,ITA,1982,Number of under-five deaths,SH.DTH.MORT,8947
Italy,ITA,1981,Number of under-five deaths,SH.DTH.MORT,9644
Italy,ITA,1980,Number of under-five deaths,SH.DTH.MORT,10582
Italy,ITA,1979,Number of under-five deaths,SH.DTH.MORT,11790
Italy,ITA,1978,Number of under-five deaths,SH.DTH.MORT,13180
Italy,ITA,1977,Number of under-five deaths,SH.DTH.MORT,14816
Italy,ITA,1976,Number of under-five deaths,SH.DTH.MORT,16882
Italy,ITA,1975,Number of under-five deaths,SH.DTH.MORT,19372
Italy,ITA,1974,Number of under-five deaths,SH.DTH.MORT,21815
Italy,ITA,1973,Number of under-five deaths,SH.DTH.MORT,24067
Italy,ITA,1972,Number of under-five deaths,SH.DTH.MORT,26468
Italy,ITA,1971,Number of under-five deaths,SH.DTH.MORT,28569
Italy,ITA,1970,Number of under-five deaths,SH.DTH.MORT,30561
Italy,ITA,1969,Number of under-five deaths,SH.DTH.MORT,32584
Italy,ITA,1968,Number of under-five deaths,SH.DTH.MORT,34134
Italy,ITA,1967,Number of under-five deaths,SH.DTH.MORT,35926
Italy,ITA,1966,Number of under-five deaths,SH.DTH.MORT,37994
Italy,ITA,1965,Number of under-five deaths,SH.DTH.MORT,40193
Italy,ITA,1964,Number of under-five deaths,SH.DTH.MORT,41550
Italy,ITA,1963,Number of under-five deaths,SH.DTH.MORT,42116
Italy,ITA,1962,Number of under-five deaths,SH.DTH.MORT,43437
Italy,ITA,1961,Number of under-five deaths,SH.DTH.MORT,44880
Italy,ITA,1960,Number of under-five deaths,SH.DTH.MORT,46441
Italy,ITA,2019,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,90.6385058588077
Italy,ITA,2015,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,91.1489832076112
Italy,ITA,2010,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,92.2468466267496
Italy,ITA,2000,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,91.9503694446995
Italy,ITA,2021,Number of neonatal deaths,SH.DTH.NMRT,604
Italy,ITA,2020,Number of neonatal deaths,SH.DTH.NMRT,655
Italy,ITA,2019,Number of neonatal deaths,SH.DTH.NMRT,729
Italy,ITA,2018,Number of neonatal deaths,SH.DTH.NMRT,814
Italy,ITA,2017,Number of neonatal deaths,SH.DTH.NMRT,902
Italy,ITA,2016,Number of neonatal deaths,SH.DTH.NMRT,971
Italy,ITA,2015,Number of neonatal deaths,SH.DTH.NMRT,1027
Italy,ITA,2014,Number of neonatal deaths,SH.DTH.NMRT,1087
Italy,ITA,2013,Number of neonatal deaths,SH.DTH.NMRT,1150
Italy,ITA,2012,Number of neonatal deaths,SH.DTH.NMRT,1233
Italy,ITA,2011,Number of neonatal deaths,SH.DTH.NMRT,1299
Italy,ITA,2010,Number of neonatal deaths,SH.DTH.NMRT,1360
Italy,ITA,2009,Number of neonatal deaths,SH.DTH.NMRT,1395
Italy,ITA,2008,Number of neonatal deaths,SH.DTH.NMRT,1424
Italy,ITA,2007,Number of neonatal deaths,SH.DTH.NMRT,1428
Italy,ITA,2006,Number of neonatal deaths,SH.DTH.NMRT,1472
Italy,ITA,2005,Number of neonatal deaths,SH.DTH.NMRT,1516
Italy,ITA,2004,Number of neonatal deaths,SH.DTH.NMRT,1572
Italy,ITA,2003,Number of neonatal deaths,SH.DTH.NMRT,1581
Italy,ITA,2002,Number of neonatal deaths,SH.DTH.NMRT,1650
Italy,ITA,2001,Number of neonatal deaths,SH.DTH.NMRT,1746
Italy,ITA,2000,Number of neonatal deaths,SH.DTH.NMRT,1877
Italy,ITA,1999,Number of neonatal deaths,SH.DTH.NMRT,1983
Italy,ITA,1998,Number of neonatal deaths,SH.DTH.NMRT,2089
Italy,ITA,1997,Number of neonatal deaths,SH.DTH.NMRT,2237
Italy,ITA,1996,Number of neonatal deaths,SH.DTH.NMRT,2362
Italy,ITA,1995,Number of neonatal deaths,SH.DTH.NMRT,2490
Italy,ITA,1994,Number of neonatal deaths,SH.DTH.NMRT,2662
Italy,ITA,1993,Number of neonatal deaths,SH.DTH.NMRT,2883
Italy,ITA,1992,Number of neonatal deaths,SH.DTH.NMRT,3198
Italy,ITA,1991,Number of neonatal deaths,SH.DTH.NMRT,3421
Italy,ITA,1990,Number of neonatal deaths,SH.DTH.NMRT,3681
Italy,ITA,1989,Number of neonatal deaths,SH.DTH.NMRT,3811
Italy,ITA,1988,Number of neonatal deaths,SH.DTH.NMRT,4019
Italy,ITA,1987,Number of neonatal deaths,SH.DTH.NMRT,4109
Italy,ITA,1986,Number of neonatal deaths,SH.DTH.NMRT,4378
Italy,ITA,1985,Number of neonatal deaths,SH.DTH.NMRT,4800
Italy,ITA,1984,Number of neonatal deaths,SH.DTH.NMRT,5181
Italy,ITA,1983,Number of neonatal deaths,SH.DTH.NMRT,5607
Italy,ITA,1982,Number of neonatal deaths,SH.DTH.NMRT,6107
Italy,ITA,1981,Number of neonatal deaths,SH.DTH.NMRT,6533
Italy,ITA,1980,Number of neonatal deaths,SH.DTH.NMRT,7178
Italy,ITA,1979,Number of neonatal deaths,SH.DTH.NMRT,8121
Italy,ITA,1978,Number of neonatal deaths,SH.DTH.NMRT,9226
Italy,ITA,1977,Number of neonatal deaths,SH.DTH.NMRT,10280
Italy,ITA,1976,Number of neonatal deaths,SH.DTH.NMRT,11481
Italy,ITA,1975,Number of neonatal deaths,SH.DTH.NMRT,13014
Italy,ITA,1974,Number of neonatal deaths,SH.DTH.NMRT,14806
Italy,ITA,1973,Number of neonatal deaths,SH.DTH.NMRT,16089
Italy,ITA,1972,Number of neonatal deaths,SH.DTH.NMRT,17229
Italy,ITA,1971,Number of neonatal deaths,SH.DTH.NMRT,18134
Italy,ITA,1970,Number of neonatal deaths,SH.DTH.NMRT,18374
Italy,ITA,1969,Number of neonatal deaths,SH.DTH.NMRT,19141
Italy,ITA,1968,Number of neonatal deaths,SH.DTH.NMRT,19699
Italy,ITA,1967,Number of neonatal deaths,SH.DTH.NMRT,20391
Italy,ITA,1966,Number of neonatal deaths,SH.DTH.NMRT,21717
Italy,ITA,1965,Number of neonatal deaths,SH.DTH.NMRT,22424
Italy,ITA,1964,Number of neonatal deaths,SH.DTH.NMRT,22786
Italy,ITA,1963,Number of neonatal deaths,SH.DTH.NMRT,21470
Italy,ITA,1962,Number of neonatal deaths,SH.DTH.NMRT,21225
Italy,ITA,1961,Number of neonatal deaths,SH.DTH.NMRT,21611
Italy,ITA,2021,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.8
Italy,ITA,2020,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.8
Italy,ITA,2019,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.7
Italy,ITA,2018,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.7
Italy,ITA,2017,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.7
Italy,ITA,2016,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.7
Italy,ITA,2015,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.7
Italy,ITA,2014,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.6
Italy,ITA,2013,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.6
Italy,ITA,2012,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.5
Italy,ITA,2011,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.5
Italy,ITA,2010,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.4
Italy,ITA,2009,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.4
Italy,ITA,2008,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.3
Italy,ITA,2007,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.2
Italy,ITA,2006,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27
Italy,ITA,2005,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.9
Italy,ITA,2004,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.8
Italy,ITA,2003,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.7
Italy,ITA,2002,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.6
Italy,ITA,2001,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.6
Italy,ITA,2000,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.5
Italy,ITA,1999,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.4
Italy,ITA,1998,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.3
Italy,ITA,1997,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.1
Italy,ITA,1996,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26
Italy,ITA,1995,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,25.9
Italy,ITA,1994,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,25.8
Italy,ITA,1993,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,25.7
Italy,ITA,1992,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,25.6
Italy,ITA,1991,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,25.5
Italy,ITA,1990,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,25.5
Italy,ITA,2021,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Italy,ITA,2020,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Italy,ITA,2019,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Italy,ITA,2018,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Italy,ITA,2017,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
